Прізвище;Ім'я;По-батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Онищенко;Олекса;Аркадійович;Чоловіча;1969-08-19;Бібліограф;хутір Гайсин;сквер Творча, буд. 039 кв. 4, Гадяч, 60324;055 001-31-35;zirvanets@example.net
Засенко;Вікторія;Розаліяівна;Жіноча;1998-03-08;Географ;село Фастів;площа Кристаловського, буд. 238 кв. 19, Хрестівка, 97622;+380 95 359 29 84;xdanylenko@example.org
Вишиваний;Борис;Станіславович;Чоловіча;1954-04-06;Драматург;місто Тернівка ;набережна Дельфін, буд. 75 кв. 6, Новодружеськ, 57672;527-23-68;frants70@example.net
Яковенко;Марта;Єваівна;Жіноча;2006-06-27;Драматург;село Алмазна;вулиця Картамишевська, буд. 0 кв. 229, Дрогобич, 99587;218 20 50;iustym77@example.org
Токар;Тимофій;Леопольдович;Чоловіча;1976-10-27;Антрополог;селище Бобровиця;вулиця Чубаївська, буд. 4 кв. 9, Березівка, 25219;+380 92 374 91 62;rozaliia78@example.com
Ейбоженко;Адам;Азарович;Чоловіча;1950-04-24;Реабілітолог;селище Герца;площа Мечникова, буд. 5, Буринь, 66777;+380 94 078-90-48;vfareniuk@example.com
Дашенко;Орест;Демʼянович;Чоловіча;1959-07-24;Живописець;хутір Хмельницький;парк Київське, буд. 7, Галич, 59019;+380 76 133-13-21;sviatoslavapetryk@example.org
Слюсар;Олег;Євгенович;Чоловіча;1990-02-13;Бухгалтер;село Сніжне;площа Чорноморський, буд. 3, Берестечко, 66586;000-60-21;garonets@example.com
Карась;Стефан;Прохірович;Чоловіча;1976-04-01;Електрик;село Шпола;набережна Студентський 5-й, буд. 2 кв. 865, Ізмаїл, 79093;+380 96 609-93-41;tereshchenkomykolai@example.org
Андрієвич;Михайлина;Одаркаівна;Жіноча;1990-11-25;Ботанік;місто Лебедин;парк Мацієвської узвіз, буд. 563, Великі Мости, 06341;+380 53 009-62-68;velychkoanzhela@example.org
Іщак;Святослав;Зиновійович;Чоловіча;1972-06-23;Головний меркшейдер;місто Нова Каховка;вулиця Балтська дорога, буд. 8, Іловайськ, 18007;047 984 21 54;wbalaban@example.net
Бебешко;Владислав;Гордійович;Чоловіча;1948-02-17;Мінералог;хутір Канів;проспект Трудова, буд. 18 кв. 37, Курахове, 53680;008 003-46-36;ghaida@example.com
Кармалюк;Герман;Хомаович;Чоловіча;2000-04-14;Дантист;село Корець;парк Північна, буд. 089, Бориспіль, 99142;+380 45 353 01 59;bohuslava92@example.org
Затула;Тереза;Даннаівна;Жіноча;1948-02-24;Фермер;село Подільськ;набережна Тещин міст, буд. 117 кв. 38, Часів Яр, 42636;964 21 48;rtovstukha@example.org
Бабенко;Зиновій;Борисович;Чоловіча;2003-10-07;Водій;село Болехів;парк Пересипська 3-тя, буд. 9, Скадовськ, 83658;+380 14 060-21-24;ostapbarannyk@example.org
Пушкар;Софія;Ярославаівна;Жіноча;2004-07-05;Різноробочий;хутір Буча;площа 2-га Лінія 4-ї ст. Люстдорфської дороги, буд. 376, Южноукраїнськ, 50553;945-03-04;khrystynaisaievych@example.net
Андрієвич;Мирослав;Данович;Чоловіча;1978-03-23;Бібліотекар;місто Миколаївка ;сквер Сонячна, буд. 305 кв. 200, Білозерське, 69734;049 294 82 22;mpustovit@example.org
Гуцуляк;Володимир;Максимович;Чоловіча;1974-10-04;Круп'є;село Черкаси;узвіз Ланжерон, буд. 94 кв. 7, Кременець, 16770;+380 (74) 049-90-51;iorlyk@example.com
Ващенко;Гліб;Романович;Чоловіча;1969-09-26;Флорист;хутір Долинська;площа Хімічний 1-й, буд. 3 кв. 965, Білгород-Дністровський, 61122;+380 45 663-59-85;riatsenko@example.com
Карпа;Ігнат;Семенович;Чоловіча;1969-05-10;Пекар;хутір Полтава;шосе Різницький, буд. 13, Рудки, 47298;+380 (41) 513-58-89;solomon51@example.net
Байда;Гаврило;Аврелійович;Чоловіча;1986-11-27;Ді-джей;село Горохів;узвіз Південна дорога, буд. 04 кв. 6, Мелітополь, 31313;088 843 35 70;tetiana08@example.net
Туркало;Єфрем;Васильович;Чоловіча;1954-12-21;Кінорежисер;хутір Новомиргород;шосе Петра Лещенка, буд. 514 кв. 895, Любомль, 58391;008 029 08 28;hneporozhnii@example.org
Шелест;Адам;Ігорович;Чоловіча;1950-08-12;Підприємець;хутір Попасна;провулок Котляревського, буд. 417 кв. 137, Подільськ, 44076;+380 25 549-26-74;makarlukash@example.com
Левченко;Леонід;Данилоович;Чоловіча;1979-04-05;Парфюмер;селище Світловодськ;парк Городня, буд. 46 кв. 448, Ворожба, 36971;595-05-05;orestgerus@example.org
Бездітко;Пантелеймон;Аркадійович;Чоловіча;1951-09-17;Кінолог;хутір Добропілля;набережна Соляний 2-й, буд. 65 кв. 367, Красилів, 78789;+380 72 927-19-52;vertyporokhdemyd@example.com
Лавренко;Стефан;Геннадійович;Чоловіча;1947-07-10;Математик;місто Ясинувата;набережна 11-та Лінія Марії Демченко, буд. 0 кв. 209, Семенівка, 77270;037 87 18;arkhypenkoorest@example.com
Дубенко;Анастасія;Лізаівна;Жіноча;1966-02-04;Професор;селище Чигирин;проспект Олександра Кутузакія, буд. 0, Глухів, 70267;578 24 65;fesenkoedyta@example.net
Шухевич;Охрім;Стефанович;Чоловіча;1948-01-14;Бізнесмен;хутір Сарни;сквер Деволанівська, буд. 6, Хмільник, 35277;087 568 64 17;artemvakarchuk@example.org
Петлюра;Ярина;Ларисаівна;Жіноча;1986-01-14;Різноробочий;місто Ананьїв;парк Скрипковий, буд. 116 кв. 11, Щолкіне, 76150;012 754 07 77;orest01@example.net
Данилюк;Мілена;Роксоланаівна;Жіноча;1972-07-28;Мірошник;селище Зоринськ;узвіз Дмитрія Донського, буд. 979 кв. 028, Кремінна, 86560;395-39-33;asaienko@example.com
Назаренко;Пилип;Омелянович;Чоловіча;1960-11-26;Диригент;селище Іршава;сквер Дігтярна, буд. 65 кв. 650, Кременець, 39515;002 971 90 47;feofan79@example.com
Колісниченко;Ярина;Каміллаівна;Жіноча;1942-04-03;Соціолог;хутір Світловодськ;вулиця Іспанський, буд. 592 кв. 483, Суми, 40983;363-90-28;parmen16@example.net
Ковалюк;Пилип;Кирилоович;Чоловіча;1953-10-20;Головний меркшейдер;хутір Угнів;проспект Омська, буд. 912 кв. 0, Верхівцеве, 73747;388 73 06;ruslan64@example.net
Перепелиця;Болеслав;Юстимович;Чоловіча;2001-03-06;Фрілансер;хутір Лиман ;узвіз Мацієвської, буд. 22 кв. 27, Горохів, 69023;+380 (35) 392-96-28;antonhavrylets@example.net
Бакуменко;Андрій;Трохимович;Чоловіча;1987-07-14;Громадський діяч;село Стебник;набережна Тепличний 2-й, буд. 823 кв. 783, Голубівка, 59628;860-82-42;sbabko@example.net
Колісниченко;Йосип;Прохірович;Чоловіча;2001-06-30;Лікар;село Новодружеськ;вулиця Виноградна, буд. 30, Кривий Ріг, 83619;+380 85 033-37-63;fartushniakles@example.org
Христенко;Надія;Оленаівна;Жіноча;1945-04-20;Бібліотекар;місто Верхівцеве;набережна Кишинівська, буд. 200, Чортків, 28931;935 51 74;albina13@example.org
Микитюк;Олена;Міленаівна;Жіноча;1979-07-16;Маркетолог;місто Білопілля;вулиця Наклонна, буд. 7 кв. 94, Краматорськ, 20750;+380 05 363-74-45;valentyniurchuk@example.com
Черненко;Анастасія;Оксанаівна;Жіноча;1941-02-07;Лікар;селище Миргород;парк Іванівський переїзд, буд. 6 кв. 330, Полтава, 01112;+380 13 802-29-60;ihor94@example.org
Цісик;Болеслав;Миколайович;Чоловіча;1956-05-16;Юрист;село Пирятин;провулок Юннатів 2-й, буд. 085, Ворожба, 06977;+380 23 448 56 58;oksanademydenko@example.com
Смик;Василь;Остапович;Чоловіча;1987-05-10;Акушер;селище Красногорівка;шосе Гілельса, буд. 25 кв. 3, Нова Одеса, 26072;+380 40 949 99 16;heorhii14@example.org
Іщак;Леонід;Юстимович;Чоловіча;2007-01-28;Біолог;хутір Хмельницький;набережна Золотий берег, буд. 4, Рахів, 38493;329 96 37;makar73@example.net
Вдовенко;Єфрем;Симонович;Чоловіча;2008-07-30;Бібліотекар;хутір Зборів;площа Соляний 3-й, буд. 80, Тростянець, 55208;+380 65 526 06 20;ieroshenkotaras@example.org
Дрозд;Соломон;Юстимович;Чоловіча;1941-02-19;Географ;місто Дубровиця;узвіз Картамишевський, буд. 2 кв. 92, Красилів, 63637;+380 (52) 337-30-56;pfastenko@example.net
Лисенко;Стефан;Юхимович;Чоловіча;1950-07-05;Бухгалтер;місто Чигирин;узвіз Газовий, буд. 03 кв. 26, Волочиськ, 35704;+380 (21) 927-09-82;ihnatdanyliuk@example.net
Ільченко;Дмитро;Олесьович;Чоловіча;1957-07-29;Фармацевт;село Ніжин;провулок 10-та Лінія Марії Демченко, буд. 55, Корець, 35239;062 05 59;myron59@example.net
Лисенко;Анжела;Оленаівна;Жіноча;1982-02-08;Хореограф;місто Надвірна;узвіз Світла, буд. 305 кв. 5, Андрушівка, 41690;009 269-29-63;valentynievtushenko@example.com
Дробаха;Наталія;Одаркаівна;Жіноча;1956-12-27;Євнух;село Зимогір'я;парк Маршала Говорова, буд. 50 кв. 260, Тлумач, 85353;+380 (35) 208-34-33;makohonhryhorii@example.net
Шиян;Василь;Захарович;Чоловіча;2002-05-17;Каскадер;хутір Винники;площа Студентський 4-й, буд. 5, Першотравенськ, 42731;+380 10 015 95 62;myroslav17@example.net
Голик;Олександр;Мирославович;Чоловіча;1974-11-16;Кінорежисер;місто Зіньків;площа Миколи Гефта, буд. 2, Добромиль, 53526;237 63 52;stanislavhaidenko@example.org
Вобла;Пармен;Назарович;Чоловіча;2004-10-13;Різноробочий;селище Луганськ;узвіз Локомотивний 1-й, буд. 40 кв. 12, Марганець , 89992;+380 13 328-07-31;lupiisolomiia@example.org
Хмара;Ганна;Марусяівна;Жіноча;2006-05-15;Кінорежисер;село Ніжин;провулок Басейний 1-й, буд. 70, Нова Каховка, 92352;+380 (28) 684-73-40;ulukash@example.net
Акуленко;Софія;Богуславаівна;Жіноча;1949-06-20;Професор;село Дружба ;проспект Угорська, буд. 94, Бердичів, 25225;+380 (88) 395-26-37;panteleimon53@example.org
Кармалюк;Амвросій;Тимофійович;Чоловіча;1996-07-14;Бібліотекар;місто Апостолове;парк Вчительської, 2-й, буд. 5 кв. 2, Конотоп, 59521;+380 83 608 48 25;larysa26@example.com
Авдєєнко;Зиновій;Артемович;Чоловіча;1962-03-07;Петрограф;селище Гуляйполе;площа Стороженка Олега, буд. 3 кв. 1, Лисичанськ, 56459;+380 53 515-21-57;snizhanafartushniak@example.com
Іванченко;Вʼячеслав;Азарович;Чоловіча;2007-06-12;Конструктор;хутір Остер ;узвіз Більшовицький, буд. 96 кв. 54, Заліщики, 48200;899 75 83;nkorbut@example.com
Єрьоменко;Костянтин;Максимович;Чоловіча;2008-03-01;Дипломат;село Першотравенськ;провулок Рівності, буд. 668 кв. 67, Іршава, 06774;078 331 70 79;erika32@example.com
Власенко;Ярослав;Валерійович;Чоловіча;1969-06-01;Бухгалтер;селище Андрушівка;площа Слобідська, буд. 757 кв. 0, Дніпро , 10151;037 369 32 03;ctsisyk@example.net
Лавренко;Сніжана;Анастасіяівна;Жіноча;1947-01-06;Кінокритик;хутір Маріуполь;площа Парашутний, буд. 41 кв. 10, Новгород-Сіверський, 74633;+380 28 291-89-32;alinaishchak@example.net
Колодуб;Вʼячеслав;Венедиктович;Чоловіча;1984-10-23;Електротехнік;село Кипуче;узвіз Львівська, буд. 5, Саки , 80080;055 481 84 52;sandriienko@example.com
Деркач;Златослава;Анітаівна;Жіноча;1981-01-02;Ді-джей;село Бережани;парк Орликова, буд. 927, Калинівка , 76993;+380 65 739-10-70;udovenkomaksym@example.org
Оробець;Леонтій;Климентович;Чоловіча;1970-07-02;Професор;хутір Берислав;набережна Данькевича, буд. 4 кв. 783, Сорокине, 78096;842-57-72;fdatsiuk@example.net
Василашко;Семен;Маркоович;Чоловіча;2002-03-03;Етнограф;хутір Алчевськ;узвіз Купріна, буд. 34 кв. 1, Вільногірськ, 83037;087 291-24-07;snizhana02@example.com
Аврамчук;Леонтій;Олегович;Чоловіча;1953-12-31;Скульптор;село Сокаль;вулиця Дунаєва, буд. 5 кв. 251, Світлодарськ, 36134;+380 46 723 89 45;hukemiliia@example.net
Палій;Марія;Марʼянаівна;Жіноча;2006-08-10;Паралегал;село Долинська;провулок Садиковська, буд. 2, Новоазовськ, 19400;+380 (05) 148-12-01;khoma21@example.com
Лубенець;Василь;Степанович;Чоловіча;1961-11-25;Складальник;місто Кодима;вулиця Грецький, буд. 288 кв. 24, Зимогір'я, 73985;042 705-53-26;zaichenkomykolai@example.org
Цимбал;Анжела;Оринаівна;Жіноча;1938-04-07;Епідеміолог;селище Світлодарськ;сквер Політкаторжан, буд. 91 кв. 0, Мена , 51011;092 602 75 02;pushkaramvrosii@example.org
Орлик;Олекса;Борисович;Чоловіча;1968-02-11;Юрист;місто Решетилівка;шосе Волна тупик, буд. 3, Черкаси, 17104;975 72 01;zakusyloheorhii@example.net
Ґереґа;Єлисей;Андрійович;Чоловіча;1991-04-26;Ді-джей;місто Прип'ять ;шосе Черняховського, буд. 6 кв. 5, Моспине, 54959;826 81 69;ievhenatroshchenko@example.net
Калениченко;Спас;Охрімович;Чоловіча;1971-04-17;Фольклорист;хутір Хорол ;проспект Новоукраїнський, буд. 612 кв. 8, Чигирин, 83504;+380 50 366-21-26;iandrusenko@example.org
Лукаш;Климент;Єлисейович;Чоловіча;2005-01-07;Правник;село Володимир-Волинський;узвіз Виноградна, буд. 840, Краматорськ, 72481;250-32-33;ntykhyi@example.net
Сацюк;Маруся;Альбінаівна;Жіноча;1981-12-15;Мікробіолог;місто Нікополь;шосе Чапаєва 2-й, буд. 9 кв. 10, Святогірськ, 58956;+380 80 324-47-61;roksolana76@example.net
Штокало;Ілля;Амвросійович;Чоловіча;1982-02-28;Астроном;селище Ічня;площа Братська, буд. 52, Вараш, 59471;+380 (91) 416-01-09;adamchukmariia@example.org
Бабʼяк;Ігор;Мирославович;Чоловіча;1975-07-25;Маркетолог;хутір Хоростків;проспект Черешнева, буд. 440 кв. 15, Новодністровськ, 38931;+380 78 060-40-11;alinanazarenko@example.org
Вертипорох;Тарас;Трохимович;Чоловіча;2003-05-28;Мірошник;місто Іршава;провулок Сирітський, буд. 452 кв. 37, Чигирин, 26125;016 002 23 73;wzubko@example.org
Козак;Людмила;Іринаівна;Жіноча;1970-02-12;Підприємець;хутір Одеса;сквер Орловський, буд. 9 кв. 1, Остер , 39633;030-51-26;anita30@example.com
Базавлученко;Камілла;Пріскаівна;Жіноча;2007-12-30;Музикознавець;хутір Валки ;узвіз Кибальчича, буд. 26 кв. 40, Бібрка, 49750;360 34 62;tymofiivdovenko@example.net
Артим;Гліб;Максимович;Чоловіча;1982-04-01;Палеонтолог;місто Вовчанськ;парк Велика Арнаутська, буд. 0, Немирів, 55725;+380 12 939 44 62;adazhurba@example.net
Макогон;Богуслава;Тетянаівна;Жіноча;1946-03-09;Маркетолог;селище Яворів;проспект Байкальська, буд. 42 кв. 0, Яготин, 91475;+380 98 058-52-67;terezafesenko@example.org
Чуйко;Святослава;Ярославаівна;Жіноча;1983-03-16;Музикознавець;місто Олешки;сквер Тимірязєва 4-й, буд. 575 кв. 110, Рава-Руська, 18928;033 986 16 60;yvovk@example.com
Євтушок;Тетяна;Альбінаівна;Жіноча;2008-03-17;Електротехнік;селище Буча;вулиця Виноградний, буд. 149, Золочів, 07840;688-36-51;trokhym98@example.net
Шелест;Златослава;Терезаівна;Жіноча;1966-11-24;Фізик;хутір Сіверськ;площа Шампанський, буд. 439 кв. 22, Немирів, 14468;114 72 34;amvrosii75@example.com
Жадан;Лесь;Валерійович;Чоловіча;1941-08-31;Складальник;село Новоукраїнка;набережна Французький, буд. 411 кв. 7, Старий Самбір, 42918;748-76-91;cmoskal@example.com
Фоменко;Лілія;Людмилаівна;Жіноча;1939-12-04;Сценарист;хутір Лохвиця;сквер Ланжеронівський узвіз, буд. 06 кв. 9, Жмеринка, 56625;005 087 11 16;aleksiukmarusia@example.net
Рябець;Пилип;Бориславович;Чоловіча;1977-05-03;Паблік рилейшнз;місто Бережани;сквер Ювілейний 2-й, буд. 2, Вишгород, 19434;+380 48 430-73-39;mcherinko@example.net
Скиба;Мирон;Кирилоович;Чоловіча;2006-05-24;Мірошник;селище Чорноморськ;набережна Патріотична, буд. 0, Новояворівськ, 19646;+380 73 490 08 31;haidaisolomiia@example.net
Скиба;Данна;Анастасіяівна;Жіноча;1977-05-22;Каскадер;місто Суходільськ;набережна 11-та Суворовська, буд. 727 кв. 812, Стебник, 78961;+380 (63) 127-67-50;zynoviiriabovil@example.net
Мазепа;Юстина;Аллаівна;Жіноча;1967-05-12;Фермер;селище Залізне;сквер Гонтаренко, буд. 226 кв. 8, Корець, 16937;076 347-98-69;olha17@example.net
Удовиченко;Марія;Тетянаівна;Жіноча;1948-02-22;Дипломат;місто Сєвєродонецьк;провулок Маршала Бабаджаняна, буд. 48, Снігурівка, 40321;+380 76 091 01 12;grubets@example.net
Скиба;Альберт;Ааронович;Чоловіча;2008-03-02;Конструктор;селище Гайсин;провулок Дідріхсона, буд. 4, Мар'їнка, 74535;+380 76 457-17-88;danyliukavrelii@example.com
Бабенко;Леон;Григорійович;Чоловіча;1963-02-15;Гірник;селище Кам'янка-Бузька;провулок Лейтенанта Шмідта, буд. 203 кв. 0, Соледар, 57631;099 226 23 91;xisaienko@example.org
Батюк;Франц;Зорянович;Чоловіча;1981-01-16;Ді-джей;хутір Чистякове;площа Надіїі, буд. 016, Верхньодніпровськ, 18080;+380 00 018 42 95;velychkoleonid@example.com
Вобла;Зиновій;Леонтійович;Чоловіча;1940-09-06;Епідеміолог;село Кілія;шосе Матроська Слобідка, буд. 533 кв. 129, Немирів, 29770;030 265-97-88;galaganmyron@example.net
Баран;Віктор;Остапович;Чоловіча;1965-04-19;Петрограф;село Куп'янськ;площа Історія Футболу, буд. 2 кв. 003, Попасна, 28959;+380 (66) 817-40-93;nadiia56@example.org
Баштан;Віолетта;Вікторіяівна;Жіноча;1985-08-22;Швачка;хутір Барвінкове;провулок Партизанської Слави, буд. 535 кв. 54, Камінь-Каширський, 79195;001 584 81 71;dlytvynenko@example.net
Іваненко;Еріка;Валентинаівна;Жіноча;2001-06-01;Кушнір;селище Скадовськ;набережна Академіка Філатова, буд. 0 кв. 358, Путивль, 06942;+380 74 357 70 15;korolenkovitalii@example.org
Ющенко;Леонід;Онисимович;Чоловіча;1953-09-03;Хімік;село Малин;шосе 1-ша Лінія 6-й ст. Люстдорфської дороги, буд. 5 кв. 933, Виноградів, 07319;+380 67 095 20 53;wshtepa@example.org
Гаврюшенко;Пилип;Макарович;Чоловіча;1953-09-04;Шериф;місто Очаків;набережна Посмітного, буд. 1, Ірміно, 28369;+380 94 611 15 92;azarvdovychenko@example.com
Христенко;Адам;Омелянович;Чоловіча;1991-04-10;Редактор;селище Рівне;площа Гагарінське плато, буд. 2, Хмельницький, 16025;+380 (21) 166-64-37;vasylevychanita@example.org
Ковпак;Ірена;Адаівна;Жіноча;1977-01-16;Футболіст;хутір Перечин;провулок Донцова Дмитра, буд. 00, Острог, 05192;+380 13 993-24-17;liubovhavrylyshyn@example.net
Андріїшина;Ігор;Мирославович;Чоловіча;2005-04-13;Круп'є;хутір Судак ;проспект Об'їзна дорога, буд. 63 кв. 137, Рожище, 48942;058 762 04 09;liliiakalenychenko@example.com
Бабійчук;Єва;Маринаівна;Жіноча;1949-02-09;Фольклорист;селище Кременчук;набережна Бібліотечна, буд. 157, Боярка, 99915;000 718 88 75;qisaievych@example.net
Захаренко;Ада;Марусяівна;Жіноча;1946-03-24;Психолог;місто Костопіль;набережна Воронцовський, буд. 84 кв. 9, Керч, 67038;054-14-09;aarondrozd@example.com
Кириленко;Орися;Наталіяівна;Жіноча;1966-11-18;Краєзнавець;село Ірміно;парк 8-ма Суворовська, буд. 63, Бережани, 40950;+380 31 503-51-62;abramchukvladyslav@example.net
Заїка;Анастасія;Оленаівна;Жіноча;1967-01-13;Круп'є;селище Пологи ;набережна Садова 1-ша, буд. 4, Кальміуське, 06773;461 85 85;nvyshniak@example.org
Вітрук;Віктор;Миронович;Чоловіча;1940-07-07;Флорист;хутір Броди;набережна Глазунова 1-й, буд. 4, Носівка, 55126;922-95-11;havrylivroman@example.net
Вертипорох;Данило;Ігнатович;Чоловіча;1996-12-10;Біолог;хутір Бердичів;провулок Лінія 35-та, буд. 9 кв. 1, Дебальцеве, 98252;347 15 47;zynovii76@example.net
Москаль;Ада;Оленаівна;Жіноча;1948-04-22;Палеонтолог;місто Лохвиця;провулок Аеропортівський 4-й, буд. 3 кв. 4, Петрово-Красносілля, 43926;070 233 05 18;maksymzatovkaniuk@example.com
Бакуменко;Леонід;Панасович;Чоловіча;1968-06-21;Палеонтолог;селище Березне;вулиця Овідіопольська дорога, буд. 44, Дубляни, 33101;+380 14 801-62-14;iaroslav67@example.org
Дашенко;Пармен;Онисимович;Чоловіча;1953-07-14;Менеджер;місто Корсунь-Шевченківський;проспект Лузанівський, буд. 85, Зугрес, 54653;+380 (97) 574-05-74;opanasbatiuk@example.org
Конопленко;Ярослав;Вікторович;Чоловіча;1993-03-18;Маркетолог;село Токмак;вулиця Ботанічний, буд. 11 кв. 14, Приморськ (Україна), 97383;027 836-73-81;liubov90@example.net
Сімашкевич;Панас;Ілляович;Чоловіча;1992-11-02;Електротехнік;селище Київ;шосе Заньковецької, буд. 579 кв. 321, Інкерман, 03450;+380 01 653-28-10;marusia27@example.com
Вахній;Аркадій;Онисимович;Чоловіча;1956-12-29;Сценарист;хутір Середина-Буда;шосе Виставочна, буд. 88 кв. 03, Керч, 54632;+380 (54) 711-54-81;zorian76@example.net
Худобʼяк;Костянтин;Леонідович;Чоловіча;1991-01-22;Епідеміолог;село Першотравенськ;сквер Прибережний, буд. 7, Яремче, 88864;+380 31 542-00-81;vlemeshko@example.org
Дейнеко;Софія;Оксеніяівна;Жіноча;1952-01-13;Перекладач;місто Городенка;провулок Орловський, буд. 1 кв. 4, Буча, 44759;096 142 59 40;chumachenkoboleslav@example.org
